	abstract	1	2	3	4	5	6	7	8	9	10
1825	16360032.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1853	16415594.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1854	16417227.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1855	16418282.txt	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
1859	16426811.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1887	16461362.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1896	16473539.txt	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
1906	16489115.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
1930	16511210.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1938	16517750.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1960	16545946.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1969	16568717.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
1980	16585588.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
2001	16623711.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2035	16710454.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2050	16733543.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2056	16754688.txt	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0
2084	16798009.txt	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
2112	16848790.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2139	16895920.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2158	1693333.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
2175	16964325.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2182	16982856.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2185	16982918.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2187	16984412.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2202	17000779.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2221	17030574.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2226	17038310.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2232	17049431.txt	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
2235	17054395.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2245	17067815.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2248	17069460.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2262	17088427.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2283	17129783.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2285	17130252.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2286	1713213.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2315	17181781.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2343	17215251.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2374	17268554.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2381	17289036.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2431	17360394.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2452	17390218.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2455	17393422.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
2484	17441749.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
2503	17475865.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2530	17526744.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
2535	17537817.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2542	17548359.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2553	17562776.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2560	17579075.txt	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
2576	17624595.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2597	17646163.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2605	17662939.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2630	17702740.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2635	17709375.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2638	17711851.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2655	17766391.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2661	17804794.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2672	17883418.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2682	17894550.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2719	17951252.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2777	18062270.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
2791	18083044.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
2813	18164316.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2818	18177344.txt	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
2825	18183397.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2836	18212080.txt	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
2850	18239074.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2860	18262542.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2868	18282094.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2900	18329614.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2902	18331465.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2938	18383626.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2942	18391004.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2958	18413260.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2967	18430786.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
2996	18464921.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3018	18503636.txt	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
3033	18540885.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3078	18624796.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3080	18628489.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3142	18769617.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3143	18769718.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3168	18817453.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3242	19016873.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3260	19050071.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3272	1907989.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3277	19090485.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3316	19141631.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
3383	19265145.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3386	19266487.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3387	19273555.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3427	19380820.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3429	19381785.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
3431	19383546.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3457	19417080.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3463	19429681.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3484	19461880.txt	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3486	19464373.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
3487	19465482.txt	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
3496	19478445.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
3547	19553547.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3552	19561082.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3603	19647033.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
3694	19793902.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
3699	19797069.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3768	19923722.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
3771	19929574.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
3817	20023027.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3849	20068036.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3915	20199596.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3957	20345489.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3995	20404075.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
3999	20406420.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
4008	20421637.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
